,stationid,sumax,sumay,sumaz,accx,accy,accz,velx,velz,temperature,humidity,pressure,rain,forces,moisture,total_disp,Dates
0,9,0.020134228187919465,0.008790123456790123,0.01167519349337531,0.009611417198611685,0.019253024723829566,0.0966576332429991,0.49993872549019613,0.4059494298463064,0.7591635340328493,0.7518432770663562,0.8578103925936814,0.0,0.0,0.0,0.0,2018-06-29
1,9,0.020134228187919465,0.008790123456790123,0.01167519349337531,0.02271789519671853,0.007890583903208837,0.03523035230352303,0.49993872549019613,0.4059494298463064,0.7591635340328493,0.7518432770663562,0.8578103925936814,0.0,0.0,0.0,0.0,2018-06-30
2,9,0.020134228187919465,0.008790123456790123,0.01167519349337531,0.02271789519671853,0.007890583903208837,0.03523035230352303,0.49993872549019613,0.4059494298463064,0.7591635340328493,0.7518432770663562,0.8578103925936814,0.0,0.0,0.0,0.0,2018-07-01
3,9,0.017929990788261616,0.02004938271604938,0.0071494162403253295,0.011255243142818682,0.023729137774377126,0.07415619610741563,0.4362745098039216,0.4999504214179475,0.22475223714354423,0.0,0.8620437449410264,0.0,0.00014485945535246995,0.249792,0.8565516195532609,2018-07-02
4,9,0.01589024871693644,0.006320987654320987,0.018103109012199917,0.014890415281182496,0.0,0.12375790424570914,0.5036096256684492,0.4277279487988462,0.30913294602587954,0.2910360884749709,0.8902738460989155,0.015852554784564328,0.0,0.0,0.8414778824933513,2018-07-03
5,9,0.015429661797604948,0.011358024691358026,0.009117145480781843,0.014040921336860756,0.016096791162546028,0.0,0.49908088235294124,0.351611303916708,0.44976732019525695,0.6730209545983702,0.8733085420442362,0.0,0.0,0.64,0.8421490201045162,2018-07-04
6,9,0.01848927490459271,0.006781893004115226,0.01584022038567493,0.012489294642640432,0.013326319480974921,0.09549619305716867,0.49445465686274515,0.5527020327218641,0.6440188844026478,0.6991688009313155,0.8578103925936814,0.003976851978826692,0.0002617458323748208,0.7790630000000001,0.9820888135781127,2018-07-05
7,9,0.016548230030267144,0.010633744855967079,0.014692378328741963,0.016103978058784982,0.013782219884271437,0.07678410117434509,0.5035889355742297,0.3977335505347404,0.5851785284848178,0.9400465657741559,0.8483841520811557,0.0006582375689092454,0.0006592480166455304,0.848,0.9753158811386419,2018-07-06
8,9,0.015199368337939204,0.009415637860082303,0.016660107569198477,0.017620931530788086,0.0005260389268805897,0.1111111111111111,0.5007046568627451,0.4134853743182945,0.7512401854687981,0.7934832654249128,0.898116826655085,0.4623296124626313,0.0,0.926549,0.9743741169077283,2018-07-07
9,9,0.013028030003947888,0.012345679012345678,0.016135379771743407,0.017620931530788086,0.0005260389268805897,0.1111111111111111,0.49993872549019613,0.4059494298463064,0.7177596077984651,0.8648656868451688,0.897159934077372,0.319108088094128,0.0,0.801678,0.9743741169077283,2018-07-08
10,9,0.01516646927227267,0.009448559670781894,0.01672569854388036,0.01749957525302784,0.0007364544976328255,0.11291779584462511,0.49987745098039227,0.40634605850272687,0.6832403036017904,0.9330454016298022,0.8971649524687715,0.0013987548339321467,0.0,0.7630070000000001,0.9745001800233766,2018-07-09
11,9,0.01556125806027109,0.0114238683127572,0.02112029384756657,0.014283633892381253,0.016307206733298264,0.16531165311653118,0.49669117647058825,0.4289538919186911,0.6368511650866379,0.9809145809080326,0.8985217990603729,0.038260058692849895,0.0,0.5603520000000001,0.9935541748126747,2018-07-10
12,9,0.013521515988945916,0.0134320987654321,0.019972451790633606,0.011431761365015412,0.026196738558653343,0.2023486901535682,0.49849877450980395,0.41408031730292516,0.7041219976289019,0.880007857974389,0.8983644595318692,0.04204492471407806,0.0,0.608448,0.996963879464924,2018-07-11
13,9,0.013488616923279378,0.014386831275720165,0.02489177489177489,0.010460911142933425,0.02577590741714887,0.21725383920505872,0.4989583333333334,0.41249380267724345,0.617681555642749,0.989522700814901,0.9001159762122335,0.007569732042456323,0.0,0.15156599999999998,1.0,2018-07-12
14,9,0.013028030003947888,0.012345679012345678,0.016135379771743407,0.010460911142933425,0.02577590741714887,0.21725383920505872,0.49993872549019613,0.4059494298463064,0.679177372469106,0.9390966239813736,0.8973224563864626,0.2301911631606374,0.0,0.08090299999999999,1.0,2018-07-13
15,9,0.020200026319252537,0.01813991769547325,0.04683195592286501,0.012918375767578457,0.023882167280378747,0.2023486901535682,0.5098651960784314,0.3797719385225583,0.5870741411098593,0.989522700814901,0.8985468191067809,0.0221606648199446,0.0,0.202366,0.9040522695647462,2018-07-14
