,stationid,sumax,sumay,accx,accy,accz,velx,vely,velz,temperature,humidity,pressure,lightavg,lightavgw/o0,forces,total_disp,ds,Dates
0,7,0.013028030003947888,0.012345679012345678,0.009611417198611685,0.019253024723829566,0.0966576332429991,0.49993872549019613,0.49989270386266094,0.4059494298463064,0.8342918981862366,0.7421420256111758,0.9640783813976984,0.0,0.0,0.03160799811312895,0.0,2018-06-21,2018-06-29
1,7,0.013028030003947888,0.012345679012345678,0.024659595640882503,0.02977380326144135,0.04878048780487805,0.49993872549019613,0.49989270386266094,0.4059494298463064,0.8342918981862366,0.7421420256111758,0.9640783813976984,0.0,0.0,0.03160799811312895,0.0,2018-06-21,2018-06-30
2,7,0.013028030003947888,0.012345679012345678,0.024659595640882503,0.02977380326144135,0.04878048780487805,0.49993872549019613,0.49989270386266094,0.4059494298463064,0.8342918981862366,0.7421420256111758,0.9640783813976984,0.0,0.0,0.03160799811312895,0.0,2018-06-21,2018-07-01
3,7,0.013028030003947888,0.012345679012345678,0.024659595640882503,0.02977380326144135,0.04878048780487805,0.49993872549019613,0.49989270386266094,0.4059494298463064,0.8342918981862366,0.7501837892898718,0.9640783813976984,0.004563773529627188,0.019269268658902806,0.0016219960311733249,0.0,2018-07-08,2018-07-02
4,7,0.013028030003947888,0.012345679012345678,0.024659595640882503,0.02977380326144135,0.04878048780487805,0.49993872549019613,0.49989270386266094,0.4059494298463064,0.822348652651031,0.8592840512223515,0.9661295740864665,0.22316262176810955,0.41657022815498423,0.0007585919547150947,0.0,2018-07-09,2018-07-03
5,7,0.017206211343597844,0.014650205761316874,0.02502366447416325,0.03398211467648606,0.039747064137308045,0.5001225490196078,0.5020386266094421,0.40396628656420425,0.7807122575636757,0.9052630966239815,0.966849122145188,0.0002059986816084377,0.0004257306086574379,0.005072577969187386,0.0012454236451213876,2018-07-10,2018-07-04
6,7,0.02911567311488354,0.019588477366255144,0.024447222154802068,0.030825881115202527,0.05397470641373082,0.4987745098039216,0.4934549356223176,0.41844323252354987,0.7407052539648384,0.9196942665890571,0.9651435827828478,0.000273901340364755,0.0004809986816084377,0.010494297885532394,0.018498416685234772,2018-07-11,2018-07-05
7,7,0.013028030003947888,0.012345679012345678,0.024447222154802068,0.030825881115202527,0.05397470641373082,0.49993872549019613,0.49989270386266094,0.4059494298463064,0.7652199594128791,0.9057171129220024,0.9637468937573151,0.00023643887790229253,0.0004377316340730975,0.00948932158552546,0.018498416685234772,2018-07-12,2018-07-06
8,7,0.037833925516515335,0.022617283950617285,0.024861856103816294,0.03019463440294582,0.052544414333032245,0.5011948529411765,0.49796137339055796,0.4040654437283094,0.6856232148206276,0.9712319557625145,0.9656934335233063,0.000144579945799458,0.00025083864352157037,0.00817417600003439,0.02097031355610265,2018-07-13,2018-07-07
9,7,0.021384392683247797,0.011851851851851853,0.02502366447416325,0.0176749079431878,0.0953026196928636,0.5001021241830066,0.4871244635193133,0.42472318625020655,0.7533037157045156,0.9109025029103608,0.9649689373412154,0.00023206621255401745,0.0004230077638614224,0.002956675359498308,0.03758402889397959,2018-07-14,2018-07-08
