,stationid,sumax,countwx,accx,accz,velx,velz,temperature,humidity,pressure,lightavg,forces,total_disp,ds,Dates
0,10,0.005329648637978682,0.2,0.009611417198611685,0.0966576332429991,0.49993872549019613,0.4059494298463064,0.7310364904375561,0.7712456344586729,0.8978470571835425,1.6276642496154693e-05,0.0,0.0,2018-07-10,2018-06-29
1,10,0.005329648637978682,0.2,0.004878522365961991,0.026799457994579955,0.49993872549019613,0.4059494298463064,0.7310364904375561,0.7712456344586729,0.8978470571835425,1.6276642496154693e-05,0.0,0.0,2018-07-10,2018-06-30
2,10,0.005329648637978682,0.2,0.004878522365961991,0.02679915688045773,0.49993872549019613,0.40594903321764997,0.7310364904375561,0.7712456344586729,0.8978470571835425,1.6276642496154693e-05,0.0,6.624291904255989e-07,2018-07-10,2018-07-01
3,10,0.013028030003947888,0.0,0.004878522365961991,0.02679915688045773,0.49993872549019613,0.4059494298463064,0.320286810029491,0.3823611757857975,0.7580746743618176,0.062465324470812274,0.000508635905636471,6.624291904255989e-07,2018-07-12,2018-07-02
4,10,0.013028030003947888,0.0,0.004878522365961991,0.02679915688045773,0.49993872549019613,0.4059494298463064,0.5557840866421119,0.9742246798603026,0.8957910098381315,0.03239426133450524,0.0018032679003521194,6.624291904255989e-07,2018-07-13,2018-07-03
5,10,0.0138834057112778,0.03333333333333333,0.012766680420378146,0.08401084010840108,0.503921568627451,0.4185093372996199,0.3539061939659354,0.0,0.8936167107818334,0.00755608840547865,0.0010578880888483127,0.006939626709902577,2018-07-15,2018-07-04
6,10,0.013028030003947888,0.0,0.012766680420378146,0.08401084010840108,0.49993872549019613,0.4059494298463064,0.24584741436412805,0.37834691501746215,0.8957437811991115,0.0,0.0020018293444987955,0.006939626709902577,2018-07-16,2018-07-05
7,10,0.014837478615607316,0.03333333333333333,0.016286012475425354,0.06684733514001806,0.5017156862745098,0.4021814576103124,0.5974335607393437,0.8786517753201397,0.8930581744405567,0.0025635391489050026,0.0015051412621490874,0.007481789268971985,2018-07-18,2018-07-06
8,10,0.014837478615607316,0.03333333333333333,0.016286012475425354,0.06594399277326106,0.49993872549019613,0.4057511155180962,0.7655279490002993,0.815325960419092,0.8971643354467601,0.06814737054127298,0.0012227870150045062,0.007463919641660043,2018-07-19,2018-07-07
9,10,0.013028030003947888,0.0,0.016286012475425354,0.06594399277326106,0.49993872549019613,0.4059494298463064,0.7673754646212781,0.8388000582072178,0.8958098598061988,0.04153829011938768,0.0010336131462974297,0.007463919641660043,2018-07-20,2018-07-08
10,10,0.013028030003947888,0.0,0.016286012475425354,0.06594399277326106,0.49993872549019613,0.4059494298463064,0.7217297201513789,0.9169777357392316,0.8953641330567962,0.04526800886252106,0.0013270618007797188,0.007463919641660043,2018-07-21,2018-07-09
11,10,0.013028030003947888,0.0,0.016286012475425354,0.06594399277326106,0.49993872549019613,0.4059494298463064,0.7010345074908972,0.965593131548312,0.8966316932427525,0.028279295759173807,0.0016471243896732624,0.007463919641660043,2018-07-22,2018-07-10
12,10,0.013028030003947888,0.0,0.016286012475425354,0.06594399277326106,0.49993872549019613,0.4059494298463064,0.7001809966205526,0.9131800058207219,0.8963412904638675,0.04043518457481872,0.001394039148781439,0.007463919641660043,2018-07-23,2018-07-11
13,10,0.013028030003947888,0.0,0.016286012475425354,0.06594399277326106,0.49993872549019613,0.4059494298463064,0.6466557815552207,0.980243306169965,0.8975593503536138,0.01831059657218194,0.0014429683298605625,0.007463919641660043,2018-07-24,2018-07-12
14,10,0.013028030003947888,0.0,0.016286012475425354,0.06594399277326106,0.49993872549019613,0.4059494298463064,0.7196421414136298,0.9367325378346915,0.8943055723617865,0.05265226140774921,0.0014881045511661107,0.007463919641660043,2018-07-25,2018-07-13
15,10,0.013028030003947888,0.0,0.016286012475425354,0.06594399277326106,0.49993872549019613,0.4059494298463064,0.6283468553419317,0.989522700814901,0.8936070392189145,0.0010492547425474256,0.0015148133095717047,0.007463919641660043,2018-07-26,2018-07-14
16,10,0.020101329122252928,0.1,0.018308617104762833,0.16230051189400785,0.5030024509803922,0.46941001487357464,0.5608203492517541,0.8889145809080325,0.8956242678555555,0.00019731743939061013,0.000468683396021476,0.05764692785898588,2018-07-28,2018-07-15
17,10,0.013028030003947888,0.0,0.018308617104762833,0.16230051189400785,0.49993872549019613,0.4059494298463064,0.7000573788820399,0.8849125436554133,0.8956521862628539,0.02186076503332601,0.00033596141194444754,0.05764692785898588,2018-07-29,2018-07-16
18,10,0.013028030003947888,0.0,0.018308617104762833,0.16230051189400785,0.49993872549019613,0.4059494298463064,0.7497546630889247,0.7340462747380675,0.8944090718131157,0.021500073243975685,0.00013578795989400196,0.05764692785898588,2018-07-30,2018-07-17
19,10,0.013028030003947888,0.0,0.018308617104762833,0.16230051189400785,0.49993872549019613,0.4059494298463064,0.7052185249408278,0.8886373690337602,0.89338889174392,0.010893675382699773,0.00011559044909971256,0.05764692785898588,2018-07-31,2018-07-18
20,10,0.013028030003947888,0.0,0.018308617104762833,0.16230051189400785,0.49993872549019613,0.4059494298463064,0.6746798806856776,0.8840486030267752,0.8943006833984922,0.011952935252325495,0.00014075041559776321,0.05764692785898588,2018-08-01,2018-07-19
21,10,0.013028030003947888,0.0,0.018308617104762833,0.16230051189400785,0.49993872549019613,0.4059494298463064,0.7234481332877676,0.8802271536670547,0.8965789319197215,0.014789487658390096,0.00011369396921292481,0.05764692785898588,2018-08-02,2018-07-20
