,stationid,sumax,velx,temperature,humidity,pressure,rain,lightavg,moisture,total_disp,ds,Dates
0,8,0.0196078431372549,0.49993872549019613,0.6888461359963886,0.8585564610011641,0.9803656440368475,0.0,0.0025177616641031274,0.0,0.0,2018-06-28,2018-06-29
1,8,0.0196078431372549,0.49993872549019613,0.6888461359963886,0.8585564610011641,0.9803656440368475,0.0,0.0025177616641031274,0.0,0.0,2018-06-28,2018-06-30
2,8,0.0196078431372549,0.49993872549019613,0.6888461359963886,0.8585564610011641,0.9803656440368475,0.0,0.0025177616641031274,0.0,0.0,2018-06-28,2018-07-01
3,8,0.04592709567048296,0.49993872549019613,0.7194940532695414,0.7807179860302679,0.9803776797596029,0.0,0.00023735259649893797,0.0,0.01237138118022206,2018-06-29,2018-07-02
4,8,0.013028030003947888,0.49993872549019613,0.6077744166128739,0.433415454016298,0.5462110821751942,0.04791116230736647,0.0006408847872262506,0.01,0.01237138118022206,2018-07-10,2018-07-03
5,8,0.013028030003947888,0.49993872549019613,0.7755869733061628,0.7636135040745053,0.8942075586600812,0.4465867639395518,0.0018281549842525454,0.01,0.01237138118022206,2018-07-11,2018-07-04
6,8,0.04592709567048296,0.5489583333333334,0.7857615991831948,0.7301209254947615,0.8812425711601668,0.49720096663405955,0.0016278217241631875,0.01,0.09503614872539687,2018-07-12,2018-07-05
7,8,1.0,0.49993872549019613,0.3853101623906742,0.5101216530849826,0.4468192792959641,0.007770860188511926,0.00027924265729143777,0.01,0.09503614872539687,2018-07-13,2018-07-06
8,8,0.015594157125937626,0.3821691176470589,0.7380683568122655,0.7701677823050057,0.8924400254510447,0.03011436877759798,0.10118553431480261,0.098704,0.28580404103077756,2018-07-15,2018-07-07
9,8,0.013028030003947888,0.49993872549019613,0.5842140569822927,0.989522700814901,0.8971205675848858,0.0,0.0,0.03,0.28580404103077756,2018-07-18,2018-07-08
10,8,0.013028030003947888,0.49993872549019613,0.697759692179174,0.9323402211874272,0.8967570357834768,0.7710704588464387,0.0644628231890427,0.029859,0.28580404103077756,2018-07-19,2018-07-09
11,8,0.013028030003947888,0.49993872549019613,0.6767497394745614,0.9617419965075669,0.8954225669765968,0.6657524478209594,0.05394124368270709,0.02993,0.28580404103077756,2018-07-20,2018-07-10
12,8,0.013028030003947888,0.49993872549019613,0.6543808354533985,0.9853211583236321,0.8950370822652358,0.6115849812128027,0.03864277448179887,0.029859,0.28580404103077756,2018-07-21,2018-07-11
13,8,0.013028030003947888,0.49993872549019613,0.7053003742284439,1.0,0.7949874703379615,0.0,0.0008679411118435508,0.978,0.28580404103077756,2018-07-25,2018-07-12
14,8,0.01769969732859587,0.5038602941176471,0.5604406360617835,0.989522700814901,0.8956797607477438,0.0001371328268560928,0.0025623452721013694,0.468261,0.28749697871356833,2018-07-28,2018-07-13
15,8,0.015791551519936834,0.4963848039215687,0.6400635386737884,0.989522700814901,0.8950982464627311,0.007076053865774389,0.018633534754266462,0.47885399999999995,0.28599277696072206,2018-07-29,2018-07-14
16,8,0.014409790761942362,0.49993872549019613,0.748256905506263,0.9785346332945286,0.8931337344214777,0.0002742656537121856,0.004482829781000513,0.477959,0.28600894176528163,2018-07-30,2018-07-15
17,8,0.014409790761942362,0.49993872549019613,0.5682251783597234,0.989522700814901,0.8931002041323015,0.0,0.0007836171537391049,0.48,0.2860103257934222,2018-07-31,2018-07-16
18,8,0.013028030003947888,0.49993872549019613,0.6475797503174823,0.989522700814901,0.8939347095746827,0.0,0.015816554969603748,0.483869,0.2860103257934222,2018-08-01,2018-07-17
19,8,0.013028030003947888,0.49993872549019613,0.7012378649993037,0.9890138242142026,0.896370150791694,0.0,0.018618439170878194,0.49,0.2860103257934222,2018-08-02,2018-07-18
20,8,0.013028030003947888,0.49993872549019613,0.6611127284080313,0.989522700814901,0.8964598127179363,0.0,0.009626589394272321,0.492727,0.2860103257934222,2018-08-03,2018-07-19
21,8,0.013028030003947888,0.49993872549019613,0.6103661700861948,0.989522700814901,0.8959126965361223,0.0,0.007044611074489123,0.5,0.2860103257934222,2018-08-04,2018-07-20
22,8,0.013028030003947888,0.49993872549019613,0.515330709093287,0.989522700814901,0.8952697785557747,0.0,0.0024525122683659267,0.49845100000000003,0.2860103257934222,2018-08-05,2018-07-21
23,8,0.013028030003947888,0.49993872549019613,0.49988102320047584,0.989522700814901,0.8947085896735913,0.0,0.0031399490954369005,0.49993000000000004,0.2860103257934222,2018-08-06,2018-07-22
24,8,0.013028030003947888,0.49993872549019613,0.4838786436644853,0.989522700814901,0.8974215310755957,0.0,0.0034405185673478354,0.5,0.2860103257934222,2018-08-07,2018-07-23
25,8,0.013028030003947888,0.49993872549019613,0.6499470511051763,0.989522700814901,0.8999306911814189,0.0,0.012347972972972972,0.499929,0.2860103257934222,2018-08-08,2018-07-24
26,8,0.013028030003947888,0.49993872549019613,0.6728741335155957,0.989522700814901,0.9042397986100172,0.0,0.013636327180839375,0.494571,0.2860103257934222,2018-08-09,2018-07-25
27,8,0.013028030003947888,0.49993872549019613,0.6673020534045506,0.989522700814901,0.901114299948938,0.0,0.008980828389364976,0.49,0.2860103257934222,2018-08-10,2018-07-26
28,8,0.013028030003947888,0.49993872549019613,0.6451491639981266,0.989522700814901,0.8943213550660906,0.0,0.006914623159745111,0.49,0.2860103257934222,2018-08-11,2018-07-27
29,8,0.013028030003947888,0.49993872549019613,0.5972842068846219,0.989522700814901,0.8898717697330812,0.0,0.0048894254010107665,0.49,0.2860103257934222,2018-08-12,2018-07-28
