,stationid,sumax,sumaz,countwx,accx,accz,velz,temperature,rain,lightavg,moisture,total_disp,ds,Dates
0,4,0.016877220686932492,0.022333726879181424,0.1,0.009611417198611685,0.0966576332429991,0.4059494298463064,1.0,0.005595019335728587,0.0066060719255841205,0.000208,0.0,2018-07-09,2018-06-29
1,4,0.016877220686932492,0.022333726879181424,0.1,0.014344312031261377,0.15356820234869017,0.4059494298463064,1.0,0.005595019335728587,0.0066060719255841205,0.000208,0.0,2018-07-09,2018-06-30
2,4,0.016877220686932492,0.022333726879181424,0.1,0.014344312031261377,0.15356820234869017,0.4059494298463064,1.0,0.005595019335728587,0.0066060719255841205,0.000208,1.6560729752267382e-08,2018-07-09,2018-07-01
3,4,0.015857349651269906,0.01895579168306441,0.03333333333333333,0.02004805708599306,0.1743450767841012,0.41051065939514136,0.9092907379514896,0.7311648062313156,9.491137478942358e-05,0.0,0.00368097984693608,2018-07-10,2018-07-02
4,4,0.013028030003947888,0.016135379771743407,0.0,0.02004805708599306,0.1743450767841012,0.4059494298463064,0.9000970378152147,0.9751667687544378,0.00012350216069728265,0.0,0.00368097984693608,2018-07-11,2018-07-03
5,4,0.013028030003947888,0.016135379771743407,0.0,0.02004805708599306,0.1743450767841012,0.4059494298463064,0.9067766147303404,0.9148130879569951,9.940306159818355e-05,0.0,0.00368097984693608,2018-07-12,2018-07-04
6,4,0.013028030003947888,0.016135379771743407,0.0,0.02004805708599306,0.1743450767841012,0.4059494298463064,0.6530687154302783,0.0019259543682900145,0.0021356478429649163,0.07304000000000001,0.00368097984693608,2018-07-13,2018-07-05
7,4,0.013028030003947888,0.016135379771743407,0.0,0.02004805708599306,0.1743450767841012,0.4059494298463064,0.8048696107095996,0.0,2.2647037281183622e-05,0.168158,0.00368097984693608,2018-07-14,2018-07-06
8,4,0.016383734701934466,0.016135379771743407,0.06666666666666667,0.01580058736438436,0.0966576332429991,0.37183936539414975,0.8545938967433265,0.0015358876607882396,0.004736334505236944,0.312857,0.018451031462988394,2018-07-19,2018-07-07
9,4,0.03961047506250823,0.016561721107175652,0.26666666666666666,0.021868401252396787,0.09812556458897924,0.4085275161130391,0.9860265546090852,0.003318614409917446,0.001948584560169926,0.39146000000000003,0.17332519103830216,2018-07-20,2018-07-08
10,4,0.010988287932622715,0.018103109012199917,0.03333333333333333,0.002087327977476275,0.15085817524841913,0.4175260287555776,0.6411528936254592,0.0,0.0006679539295392954,0.733913,0.16432708050814698,2018-09-28,2018-07-09
11,4,0.013028030003947888,0.016135379771743407,0.0,0.002087327977476275,0.15085817524841913,0.4059494298463064,0.6160892916661392,0.0,0.00023766937669376692,0.759388,0.16432708050814698,2018-09-29,2018-07-10
12,4,0.013028030003947888,0.016135379771743407,0.0,0.002087327977476275,0.15085817524841913,0.4059494298463064,0.6301310854312486,0.0,0.00016266205229619864,0.7013330000000001,0.16432708050814698,2018-09-30,2018-07-11
13,4,0.02049611791025135,0.00960907779089597,0.1,0.018794042215803827,0.03673592291478474,0.3307882994546356,0.5880234240847857,0.0,0.00028018567347835643,0.657868,0.24181191018432824,2018-10-01,2018-07-12
14,4,0.029477562837215428,0.005345664436573526,0.2,0.01972444034529906,0.03721770551038844,0.406478268054867,0.5787221385446859,0.0,0.00036544349227276055,0.696864,0.26037827764294647,2018-10-02,2018-07-13
15,4,0.013028030003947888,0.016135379771743407,0.03333333333333333,0.009611417198611685,0.0966576332429991,0.41899851264253846,0.5364819994852775,0.0,0.0,0.0,0.25510782574668434,2018-10-18,2018-07-14
16,4,0.013028030003947888,0.016135379771743407,0.0,0.009611417198611685,0.0966576332429991,0.4059494298463064,0.39954096894368,0.0,0.0,0.0,0.25510782574668434,2018-10-19,2018-07-15
17,4,0.013028030003947888,0.016135379771743407,0.0,0.009611417198611685,0.0966576332429991,0.4059494298463064,0.37507773572805786,0.0,0.0,0.0,0.25510782574668434,2018-10-20,2018-07-16
18,4,0.013028030003947888,0.016135379771743407,0.0,0.009611417198611685,0.0966576332429991,0.4059494298463064,0.37384577737837565,0.0,0.0,0.0,0.25510782574668434,2018-10-21,2018-07-17
19,4,0.013028030003947888,0.016135379771743407,0.0,0.009611417198611685,0.0966576332429991,0.4059494298463064,0.22475223714354423,0.0,0.0,0.0,0.25510782574668434,2018-10-22,2018-07-18
20,4,0.013028030003947888,0.016135379771743407,0.0,0.009611417198611685,0.0966576332429991,0.4059494298463064,0.8053716759274494,8.227969611365568e-05,0.0009098824434190288,0.038095,0.25510782574668434,2018-10-29,2018-07-19
21,4,0.2815173049085406,0.016135379771743407,0.03333333333333333,1.0,0.0966576332429991,0.4059494298463064,0.5012336459638598,0.0,8.454185893210284e-05,0.05787200000000001,0.7263620533364319,2018-10-31,2018-07-20
22,4,0.013028030003947888,0.015643447461629278,0.0,1.0,0.0921409214092141,0.40297471492315323,0.38249395623172633,0.0,0.0006288599575184941,0.061418,0.7265959232055297,2018-11-01,2018-07-21
23,4,0.013028030003947888,0.016135379771743407,0.0,1.0,0.0921409214092141,0.4059494298463064,0.2132456617768046,0.0,0.00039507434263531826,0.07697,0.7265959232055297,2018-11-02,2018-07-22
24,4,0.013028030003947888,0.016135379771743407,0.0,1.0,0.0921409214092141,0.4059494298463064,0.2132456617768046,0.0,0.0002193089430894309,0.045154,0.7265959232055297,2018-11-03,2018-07-23
25,4,0.013028030003947888,0.016135379771743407,0.0,1.0,0.0921409214092141,0.4059494298463064,0.2132456617768046,0.0,0.0009392294733758149,0.056917,0.7265959232055297,2018-11-04,2018-07-24
