,stationid,sumax,sumay,accx,accy,velx,temperature,humidity,pressure,rain,lightavg,moisture,total_disp,ds,Dates
0,5,0.0196078431372549,0.012411522633744856,0.009611417198611685,0.019253024723829566,0.49993872549019613,0.6848658979584087,0.7978782013969733,0.7128533512751254,0.0013987548339321467,0.0065525726946458656,0.175472,0.0,2018-07-05,2018-06-29
1,5,0.0196078431372549,0.012411522633744856,0.03388267275066139,0.019673855865334038,0.49993872549019613,0.6848658979584087,0.7978782013969733,0.7128533512751254,0.0013987548339321467,0.0065525726946458656,0.175472,0.0,2018-07-05,2018-06-30
2,5,0.0196078431372549,0.012411522633744856,0.03388267275066139,0.019673855865334038,0.49993872549019613,0.6848658979584087,0.7978782013969733,0.7128533512751254,0.0013987548339321467,0.0065525726946458656,0.175472,0.0,2018-07-05,2018-07-01
3,5,0.013028030003947888,0.012345679012345678,0.03388267275066139,0.019673855865334038,0.49993872549019613,0.8098096793111158,0.5284700232828872,0.7130226417141331,0.9751667687544378,0.00010638870577894969,0.17512699999999998,0.0,2018-07-06,2018-07-02
4,5,0.013028030003947888,0.012345679012345678,0.03388267275066139,0.019673855865334038,0.49993872549019613,0.8480548137084898,0.5414369906868451,0.7119646134471787,0.9751667687544378,0.00011021204130960229,0.195975,0.0,2018-07-07,2018-07-03
5,5,0.013028030003947888,0.012345679012345678,0.03388267275066139,0.019673855865334038,0.49993872549019613,0.9189029664038207,0.5551650174621654,0.7108513090921125,0.9751667687544378,9.74291364535267e-05,0.18125800000000003,0.0,2018-07-08,2018-07-04
6,5,0.011383076720621135,0.009580246913580247,0.003543603310599258,0.001578116780641769,0.48462009803921574,0.9097248766986891,0.539884167636787,0.7127381774995782,0.9751667687544378,0.0002405057496520911,0.143361,0.018915997748875906,2018-07-09,2018-07-05
7,5,0.0,0.018995884773662552,0.0,0.027753813782219885,0.49099264705882356,0.5152167951362959,0.6413987194412107,0.8817246446256852,0.0004662516113107156,0.07696533362630924,0.133077,0.18859917336144993,2018-07-11,2018-07-06
8,5,0.013028030003947888,0.012345679012345678,0.0,0.027753813782219885,0.49993872549019613,0.7160196775813114,0.9071446449359721,0.8827876996420939,2.7426565371218562e-05,0.07095355050172124,0.176949,0.18859917336144993,2018-07-12,2018-07-07
9,5,0.013028030003947888,0.012345679012345678,0.0,0.027753813782219885,0.49993872549019613,0.7534927284924121,0.8594953434225845,0.8836466147828144,0.0,0.020748423423423423,1.0,0.18859917336144993,2018-07-13,2018-07-08
10,5,0.013028030003947888,0.012345679012345678,0.0,0.027753813782219885,0.49993872549019613,0.8106965205614691,0.7581184516880093,0.8833091738285602,0.0,0.11905359994140481,1.0,0.18859917336144993,2018-07-14,2018-07-09
11,5,0.013028030003947888,0.012345679012345678,0.0,0.027753813782219885,0.49993872549019613,0.6942899574299324,0.914886059371362,0.885176787072431,0.0,0.04443398886691569,1.0,0.18859917336144993,2018-07-15,2018-07-10
12,5,0.009080142123963679,0.01583539094650206,0.0059707288658042285,0.02482903734876381,0.5119975490196079,0.8746199703823713,0.7907262805587894,0.8838575311179168,8.227969611365568e-05,0.031220539441880905,0.525161,0.17165110463497257,2018-07-19,2018-07-11
13,5,0.013028030003947888,0.012345679012345678,0.0059707288658042285,0.02482903734876381,0.49993872549019613,0.7535378721716641,0.91471565774156,0.8851313628958689,0.007569732042456323,0.00011474950560316415,0.670296,0.17165110463497257,2018-07-20,2018-07-12
14,5,0.013028030003947888,0.012345679012345678,0.0059707288658042285,0.02482903734876381,0.49993872549019613,0.7452002143270006,0.9432687718277067,0.8848244906518192,5.4853130742437125e-05,0.0001106515051637003,0.683786,0.17165110463497257,2018-07-21,2018-07-13
15,5,0.013028030003947888,0.012345679012345678,0.0059707288658042285,0.02482903734876381,0.49993872549019613,0.7108454525126464,0.9702935098952269,0.8856215155559346,0.0007679438303941198,0.0001106515051637003,0.6680710000000001,0.17165110463497257,2018-07-22,2018-07-14
16,5,0.013028030003947888,0.012345679012345678,0.0059707288658042285,0.02482903734876381,0.49993872549019613,0.738707540682049,0.9346226717112923,0.8855768733799209,2.7426565371218562e-05,0.00011735699113747894,0.66,0.17165110463497257,2018-07-23,2018-07-15
17,5,0.010593499144624293,0.013794238683127574,0.000631052644353293,0.028511309836927932,0.49724264705882354,0.7007218769644882,0.9728150465657741,0.8871004450292264,0.007158333561888045,0.00011474950560316415,0.677185,0.1740063955856755,2018-07-24,2018-07-16
18,5,0.013028030003947888,0.012345679012345678,0.000631052644353293,0.028511309836927932,0.49993872549019613,0.7446863358099071,0.9373073341094296,0.8837040531714129,0.005704725597213461,0.00011390536878341757,0.673456,0.1740063955856755,2018-07-25,2018-07-17
19,5,0.013028030003947888,0.012345679012345678,0.000631052644353293,0.028511309836927932,0.49993872549019613,0.6447808422038552,0.989522700814901,0.8853309998750221,0.01354872329338197,0.00011474950560316415,0.686074,0.1740063955856755,2018-07-26,2018-07-18
20,5,0.013028030003947888,0.012345679012345678,0.000631052644353293,0.028511309836927932,0.49993872549019613,0.6288506081739592,0.9865857101280558,0.8854908655178702,0.009489591618441623,0.00013842378964330182,0.683394,0.1740063955856755,2018-07-27,2018-07-19
21,5,0.013028030003947888,0.012345679012345678,0.000631052644353293,0.028511309836927932,0.49993872549019613,0.6169795081448479,0.989522700814901,0.8857064669583721,0.01204026219796495,0.00012786750164798947,0.68322,0.1740063955856755,2018-07-28,2018-07-20
22,5,0.013028030003947888,0.012345679012345678,0.000631052644353293,0.028511309836927932,0.49993872549019613,0.7659941524168744,0.8748752910360885,0.8851156433822646,8.227969611365568e-05,0.0001106515051637003,0.669643,0.1740063955856755,2018-07-29,2018-07-21
23,5,0.013028030003947888,0.012345679012345678,0.000631052644353293,0.028511309836927932,0.49993872549019613,0.7680737149872795,0.82556490104773,0.8839552531994415,0.0,0.00011825239874020362,0.65374,0.1740063955856755,2018-07-30,2018-07-22
24,5,0.013028030003947888,0.012345679012345678,0.000631052644353293,0.028511309836927932,0.49993872549019613,0.739838664084617,0.8805411816065192,0.8830391875807306,0.0075971586078275415,0.00011144620229986083,0.657554,0.1740063955856755,2018-07-31,2018-07-23
25,5,0.013028030003947888,0.012345679012345678,0.000631052644353293,0.028511309836927932,0.49993872549019613,0.7137354917918663,0.9187527648428405,0.884088613852554,0.004031705109569129,0.00011144620229986083,0.6724460000000001,0.1740063955856755,2018-08-01,2018-07-24
